Date,Quarter & Year,Quarters,QuarterYear Sort,ShortYear,Week Number,Day Of Week,Year,Quarter,Month,Day,DayInWeek,FY,MonthOfYear,Month & Year,Month Name
1/26/2019 0:00,Q1 2019,Q1,20190100,19,4,Saturday,2019,Qtr 1,January,27,5,FY19,1,Jan-19,January
1/27/2019 0:00,Q1 2019,Q1,20190100,19,4,Sunday,2019,Qtr 1,January,27,6,FY19,1,Jan-19,January
1/24/2019 0:00,Q1 2019,Q1,20190100,19,4,Thursday,2019,Qtr 1,January,27,3,FY19,1,Jan-19,January
1/22/2019 0:00,Q1 2019,Q1,20190100,19,4,Tuesday,2019,Qtr 1,January,27,1,FY19,1,Jan-19,January
1/23/2019 0:00,Q1 2019,Q1,20190100,19,4,Wednesday,2019,Qtr 1,January,27,2,FY19,1,Jan-19,January
2/1/2019 0:00,Q1 2019,Q1,20190100,19,5,Friday,2019,Qtr 1,February,3,4,FY19,2,Feb-19,February
2/2/2019 0:00,Q1 2019,Q1,20190100,19,5,Saturday,2019,Qtr 1,February,3,5,FY19,2,Feb-19,February
2/3/2019 0:00,Q1 2019,Q1,20190100,19,5,Sunday,2019,Qtr 1,February,3,6,FY19,2,Feb-19,February
1/28/2019 0:00,Q1 2019,Q1,20190100,19,5,Monday,2019,Qtr 1,February,3,0,FY19,1,Jan-19,January
1/31/2019 0:00,Q1 2019,Q1,20190100,19,5,Thursday,2019,Qtr 1,February,3,3,FY19,1,Jan-19,January
1/29/2019 0:00,Q1 2019,Q1,20190100,19,5,Tuesday,2019,Qtr 1,February,3,1,FY19,1,Jan-19,January
1/30/2019 0:00,Q1 2019,Q1,20190100,19,5,Wednesday,2019,Qtr 1,February,3,2,FY19,1,Jan-19,January
2/8/2019 0:00,Q1 2019,Q1,20190100,19,6,Friday,2019,Qtr 1,February,10,4,FY19,2,Feb-19,February
2/4/2019 0:00,Q1 2019,Q1,20190100,19,6,Monday,2019,Qtr 1,February,10,0,FY19,2,Feb-19,February
2/9/2019 0:00,Q1 2019,Q1,20190100,19,6,Saturday,2019,Qtr 1,February,10,5,FY19,2,Feb-19,February
2/10/2019 0:00,Q1 2019,Q1,20190100,19,6,Sunday,2019,Qtr 1,February,10,6,FY19,2,Feb-19,February
2/7/2019 0:00,Q1 2019,Q1,20190100,19,6,Thursday,2019,Qtr 1,February,10,3,FY19,2,Feb-19,February
2/5/2019 0:00,Q1 2019,Q1,20190100,19,6,Tuesday,2019,Qtr 1,February,10,1,FY19,2,Feb-19,February
2/6/2019 0:00,Q1 2019,Q1,20190100,19,6,Wednesday,2019,Qtr 1,February,10,2,FY19,2,Feb-19,February
2/15/2019 0:00,Q1 2019,Q1,20190100,19,7,Friday,2019,Qtr 1,February,17,4,FY19,2,Feb-19,February
2/11/2019 0:00,Q1 2019,Q1,20190100,19,7,Monday,2019,Qtr 1,February,17,0,FY19,2,Feb-19,February
2/16/2019 0:00,Q1 2019,Q1,20190100,19,7,Saturday,2019,Qtr 1,February,17,5,FY19,2,Feb-19,February
2/17/2019 0:00,Q1 2019,Q1,20190100,19,7,Sunday,2019,Qtr 1,February,17,6,FY19,2,Feb-19,February
2/14/2019 0:00,Q1 2019,Q1,20190100,19,7,Thursday,2019,Qtr 1,February,17,3,FY19,2,Feb-19,February
2/12/2019 0:00,Q1 2019,Q1,20190100,19,7,Tuesday,2019,Qtr 1,February,17,1,FY19,2,Feb-19,February
2/13/2019 0:00,Q1 2019,Q1,20190100,19,7,Wednesday,2019,Qtr 1,February,17,2,FY19,2,Feb-19,February
2/22/2019 0:00,Q1 2019,Q1,20190100,19,8,Friday,2019,Qtr 1,February,24,4,FY19,2,Feb-19,February
2/18/2019 0:00,Q1 2019,Q1,20190100,19,8,Monday,2019,Qtr 1,February,24,0,FY19,2,Feb-19,February
2/23/2019 0:00,Q1 2019,Q1,20190100,19,8,Saturday,2019,Qtr 1,February,24,5,FY19,2,Feb-19,February
2/24/2019 0:00,Q1 2019,Q1,20190100,19,8,Sunday,2019,Qtr 1,February,24,6,FY19,2,Feb-19,February
2/21/2019 0:00,Q1 2019,Q1,20190100,19,8,Thursday,2019,Qtr 1,February,24,3,FY19,2,Feb-19,February
2/19/2019 0:00,Q1 2019,Q1,20190100,19,8,Tuesday,2019,Qtr 1,February,24,1,FY19,2,Feb-19,February
2/20/2019 0:00,Q1 2019,Q1,20190100,19,8,Wednesday,2019,Qtr 1,February,24,2,FY19,2,Feb-19,February
2/25/2019 0:00,Q1 2019,Q1,20190100,19,9,Monday,2019,Qtr 1,March,3,0,FY19,2,Feb-19,February
2/28/2019 0:00,Q1 2019,Q1,20190100,19,9,Thursday,2019,Qtr 1,March,3,3,FY19,2,Feb-19,February
2/26/2019 0:00,Q1 2019,Q1,20190100,19,9,Tuesday,2019,Qtr 1,March,3,1,FY19,2,Feb-19,February
2/27/2019 0:00,Q1 2019,Q1,20190100,19,9,Wednesday,2019,Qtr 1,March,3,2,FY19,2,Feb-19,February
